file_names,file_paths,classification
battery1.jpg,C:\Users\Asa\.cache\kagglehub\datasets\mostafaabla\garbage-classification\versions\1\garbage_classification\battery\battery1.jpg,battery
battery10.jpg,C:\Users\Asa\.cache\kagglehub\datasets\mostafaabla\garbage-classification\versions\1\garbage_classification\battery\battery10.jpg,battery
battery100.jpg,C:\Users\Asa\.cache\kagglehub\datasets\mostafaabla\garbage-classification\versions\1\garbage_classification\battery\battery100.jpg,battery
battery101.jpg,C:\Users\Asa\.cache\kagglehub\datasets\mostafaabla\garbage-classification\versions\1\garbage_classification\battery\battery101.jpg,battery
battery102.jpg,C:\Users\Asa\.cache\kagglehub\datasets\mostafaabla\garbage-classification\versions\1\garbage_classification\battery\battery102.jpg,battery
battery103.jpg,C:\Users\Asa\.cache\kagglehub\datasets\mostafaabla\garbage-classification\versions\1\garbage_classification\battery\battery103.jpg,battery
battery104.jpg,C:\Users\Asa\.cache\kagglehub\datasets\mostafaabla\garbage-classification\versions\1\garbage_classification\battery\battery104.jpg,battery
battery105.jpg,C:\Users\Asa\.cache\kagglehub\datasets\mostafaabla\garbage-classification\versions\1\garbage_classification\battery\battery105.jpg,battery
battery106.jpg,C:\Users\Asa\.cache\kagglehub\datasets\mostafaabla\garbage-classification\versions\1\garbage_classification\battery\battery106.jpg,battery
battery107.jpg,C:\Users\Asa\.cache\kagglehub\datasets\mostafaabla\garbage-classification\versions\1\garbage_classification\battery\battery107.jpg,battery
battery108.jpg,C:\Users\Asa\.cache\kagglehub\datasets\mostafaabla\garbage-classification\versions\1\garbage_classification\battery\battery108.jpg,battery
battery109.jpg,C:\Users\Asa\.cache\kagglehub\datasets\mostafaabla\garbage-classification\versions\1\garbage_classification\battery\battery109.jpg,battery
battery11.jpg,C:\Users\Asa\.cache\kagglehub\datasets\mostafaabla\garbage-classification\versions\1\garbage_classification\battery\battery11.jpg,battery
battery110.jpg,C:\Users\Asa\.cache\kagglehub\datasets\mostafaabla\garbage-classification\versions\1\garbage_classification\battery\battery110.jpg,battery
battery111.jpg,C:\Users\Asa\.cache\kagglehub\datasets\mostafaabla\garbage-classification\versions\1\garbage_classification\battery\battery111.jpg,battery
battery112.jpg,C:\Users\Asa\.cache\kagglehub\datasets\mostafaabla\garbage-classification\versions\1\garbage_classification\battery\battery112.jpg,battery
battery113.jpg,C:\Users\Asa\.cache\kagglehub\datasets\mostafaabla\garbage-classification\versions\1\garbage_classification\battery\battery113.jpg,battery
battery114.jpg,C:\Users\Asa\.cache\kagglehub\datasets\mostafaabla\garbage-classification\versions\1\garbage_classification\battery\battery114.jpg,battery
battery115.jpg,C:\Users\Asa\.cache\kagglehub\datasets\mostafaabla\garbage-classification\versions\1\garbage_classification\battery\battery115.jpg,battery
battery116.jpg,C:\Users\Asa\.cache\kagglehub\datasets\mostafaabla\garbage-classification\versions\1\garbage_classification\battery\battery116.jpg,battery
battery117.jpg,C:\Users\Asa\.cache\kagglehub\datasets\mostafaabla\garbage-classification\versions\1\garbage_classification\battery\battery117.jpg,battery
battery118.jpg,C:\Users\Asa\.cache\kagglehub\datasets\mostafaabla\garbage-classification\versions\1\garbage_classification\battery\battery118.jpg,battery
battery119.jpg,C:\Users\Asa\.cache\kagglehub\datasets\mostafaabla\garbage-classification\versions\1\garbage_classification\battery\battery119.jpg,battery
battery12.jpg,C:\Users\Asa\.cache\kagglehub\datasets\mostafaabla\garbage-classification\versions\1\garbage_classification\battery\battery12.jpg,battery
battery120.jpg,C:\Users\Asa\.cache\kagglehub\datasets\mostafaabla\garbage-classification\versions\1\garbage_classification\battery\battery120.jpg,battery
battery121.jpg,C:\Users\Asa\.cache\kagglehub\datasets\mostafaabla\garbage-classification\versions\1\garbage_classification\battery\battery121.jpg,battery
battery122.jpg,C:\Users\Asa\.cache\kagglehub\datasets\mostafaabla\garbage-classification\versions\1\garbage_classification\battery\battery122.jpg,battery
battery123.jpg,C:\Users\Asa\.cache\kagglehub\datasets\mostafaabla\garbage-classification\versions\1\garbage_classification\battery\battery123.jpg,battery
battery124.jpg,C:\Users\Asa\.cache\kagglehub\datasets\mostafaabla\garbage-classification\versions\1\garbage_classification\battery\battery124.jpg,battery
battery125.jpg,C:\Users\Asa\.cache\kagglehub\datasets\mostafaabla\garbage-classification\versions\1\garbage_classification\battery\battery125.jpg,battery
battery126.jpg,C:\Users\Asa\.cache\kagglehub\datasets\mostafaabla\garbage-classification\versions\1\garbage_classification\battery\battery126.jpg,battery
battery127.jpg,C:\Users\Asa\.cache\kagglehub\datasets\mostafaabla\garbage-classification\versions\1\garbage_classification\battery\battery127.jpg,battery
battery128.jpg,C:\Users\Asa\.cache\kagglehub\datasets\mostafaabla\garbage-classification\versions\1\garbage_classification\battery\battery128.jpg,battery
battery129.jpg,C:\Users\Asa\.cache\kagglehub\datasets\mostafaabla\garbage-classification\versions\1\garbage_classification\battery\battery129.jpg,battery
battery13.jpg,C:\Users\Asa\.cache\kagglehub\datasets\mostafaabla\garbage-classification\versions\1\garbage_classification\battery\battery13.jpg,battery
battery130.jpg,C:\Users\Asa\.cache\kagglehub\datasets\mostafaabla\garbage-classification\versions\1\garbage_classification\battery\battery130.jpg,battery
battery131.jpg,C:\Users\Asa\.cache\kagglehub\datasets\mostafaabla\garbage-classification\versions\1\garbage_classification\battery\battery131.jpg,battery
battery132.jpg,C:\Users\Asa\.cache\kagglehub\datasets\mostafaabla\garbage-classification\versions\1\garbage_classification\battery\battery132.jpg,battery
battery133.jpg,C:\Users\Asa\.cache\kagglehub\datasets\mostafaabla\garbage-classification\versions\1\garbage_classification\battery\battery133.jpg,battery
battery134.jpg,C:\Users\Asa\.cache\kagglehub\datasets\mostafaabla\garbage-classification\versions\1\garbage_classification\battery\battery134.jpg,battery
battery135.jpg,C:\Users\Asa\.cache\kagglehub\datasets\mostafaabla\garbage-classification\versions\1\garbage_classification\battery\battery135.jpg,battery
battery136.jpg,C:\Users\Asa\.cache\kagglehub\datasets\mostafaabla\garbage-classification\versions\1\garbage_classification\battery\battery136.jpg,battery
battery137.jpg,C:\Users\Asa\.cache\kagglehub\datasets\mostafaabla\garbage-classification\versions\1\garbage_classification\battery\battery137.jpg,battery
battery138.jpg,C:\Users\Asa\.cache\kagglehub\datasets\mostafaabla\garbage-classification\versions\1\garbage_classification\battery\battery138.jpg,battery
battery139.jpg,C:\Users\Asa\.cache\kagglehub\datasets\mostafaabla\garbage-classification\versions\1\garbage_classification\battery\battery139.jpg,battery
battery14.jpg,C:\Users\Asa\.cache\kagglehub\datasets\mostafaabla\garbage-classification\versions\1\garbage_classification\battery\battery14.jpg,battery
battery140.jpg,C:\Users\Asa\.cache\kagglehub\datasets\mostafaabla\garbage-classification\versions\1\garbage_classification\battery\battery140.jpg,battery
battery141.jpg,C:\Users\Asa\.cache\kagglehub\datasets\mostafaabla\garbage-classification\versions\1\garbage_classification\battery\battery141.jpg,battery
battery142.jpg,C:\Users\Asa\.cache\kagglehub\datasets\mostafaabla\garbage-classification\versions\1\garbage_classification\battery\battery142.jpg,battery
battery143.jpg,C:\Users\Asa\.cache\kagglehub\datasets\mostafaabla\garbage-classification\versions\1\garbage_classification\battery\battery143.jpg,battery
battery144.jpg,C:\Users\Asa\.cache\kagglehub\datasets\mostafaabla\garbage-classification\versions\1\garbage_classification\battery\battery144.jpg,battery
battery145.jpg,C:\Users\Asa\.cache\kagglehub\datasets\mostafaabla\garbage-classification\versions\1\garbage_classification\battery\battery145.jpg,battery
battery146.jpg,C:\Users\Asa\.cache\kagglehub\datasets\mostafaabla\garbage-classification\versions\1\garbage_classification\battery\battery146.jpg,battery
battery147.jpg,C:\Users\Asa\.cache\kagglehub\datasets\mostafaabla\garbage-classification\versions\1\garbage_classification\battery\battery147.jpg,battery
battery148.jpg,C:\Users\Asa\.cache\kagglehub\datasets\mostafaabla\garbage-classification\versions\1\garbage_classification\battery\battery148.jpg,battery
battery149.jpg,C:\Users\Asa\.cache\kagglehub\datasets\mostafaabla\garbage-classification\versions\1\garbage_classification\battery\battery149.jpg,battery
battery15.jpg,C:\Users\Asa\.cache\kagglehub\datasets\mostafaabla\garbage-classification\versions\1\garbage_classification\battery\battery15.jpg,battery
battery150.jpg,C:\Users\Asa\.cache\kagglehub\datasets\mostafaabla\garbage-classification\versions\1\garbage_classification\battery\battery150.jpg,battery
battery151.jpg,C:\Users\Asa\.cache\kagglehub\datasets\mostafaabla\garbage-classification\versions\1\garbage_classification\battery\battery151.jpg,battery
battery152.jpg,C:\Users\Asa\.cache\kagglehub\datasets\mostafaabla\garbage-classification\versions\1\garbage_classification\battery\battery152.jpg,battery
battery153.jpg,C:\Users\Asa\.cache\kagglehub\datasets\mostafaabla\garbage-classification\versions\1\garbage_classification\battery\battery153.jpg,battery
battery154.jpg,C:\Users\Asa\.cache\kagglehub\datasets\mostafaabla\garbage-classification\versions\1\garbage_classification\battery\battery154.jpg,battery
battery155.jpg,C:\Users\Asa\.cache\kagglehub\datasets\mostafaabla\garbage-classification\versions\1\garbage_classification\battery\battery155.jpg,battery
battery156.jpg,C:\Users\Asa\.cache\kagglehub\datasets\mostafaabla\garbage-classification\versions\1\garbage_classification\battery\battery156.jpg,battery
battery157.jpg,C:\Users\Asa\.cache\kagglehub\datasets\mostafaabla\garbage-classification\versions\1\garbage_classification\battery\battery157.jpg,battery
battery158.jpg,C:\Users\Asa\.cache\kagglehub\datasets\mostafaabla\garbage-classification\versions\1\garbage_classification\battery\battery158.jpg,battery
battery159.jpg,C:\Users\Asa\.cache\kagglehub\datasets\mostafaabla\garbage-classification\versions\1\garbage_classification\battery\battery159.jpg,battery
battery16.jpg,C:\Users\Asa\.cache\kagglehub\datasets\mostafaabla\garbage-classification\versions\1\garbage_classification\battery\battery16.jpg,battery
